RowOrder,GeneID,Cluster,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11
1056,CEBPA,EarlyInter,-0.388265738,-0.513262547,-0.171427339,-0.568485378,2.640987341,-0.294531503,-0.394285857,-0.431028705,-0.497436494,-0.640979323,1.460007616,-0.201292074
1057,EME1,EarlyInter,0.235533155,0.754792772,-1.039809985,0.908709219,-0.771097445,-0.516026225,-0.973453324,0.63684528,-1.093822321,0.728697975,-0.82951524,1.959146138
1060,DOCK10,EarlyInter,1.002445498,1.323809696,-0.093806054,-0.689898646,-0.470041619,0.88636316,1.2982086,-0.323559418,-1.344482259,0.102593185,0.079464586,-1.77109673
1061,CCDC74A,EarlyInter,-0.532956354,0.163942072,-0.831092765,0.723606172,-0.227073848,0.273945919,-0.814094501,-0.116637687,-0.14879795,0.59447072,-1.527338836,2.442027058
1062,FBXO43,EarlyInter,0.098918223,1.000210108,-0.920982398,0.475741928,-0.71385205,-0.706061115,-0.906592425,0.083195356,-0.84996836,1.169082165,-0.810922542,2.081231111
1063,ERCC6L,EarlyInter,0.737553122,1.50471559,-1.030515265,0.612980646,-0.982754784,-0.77521599,-0.895665515,0.156848363,-1.004560331,1.363773465,-0.692873565,1.005714265
1064,DEK,EarlyInter,0.671384843,1.083956711,-1.236465788,0.973713144,-0.98788554,-0.413902387,-1.022080765,0.73419888,-1.105713809,0.902696946,-0.812097669,1.212195435
1065,EID2,EarlyInter,0.90235185,0.33940627,-0.250767753,0.684380502,-1.464953769,0.967968417,0.685920437,0.48910874,-1.781666824,0.421295991,-1.471622372,0.47857851
1066,CCDC150,EarlyInter,0.734598109,1.679623676,-0.908369836,0.968856486,-0.839848609,-0.794056916,-0.898212581,0.709621353,-1.026099399,1.062324763,-0.980930482,0.292493437
1067,DCK,EarlyInter,-0.204545352,-0.120766495,-0.40831819,1.350512364,-0.316164745,-0.003185835,0.081007498,1.109108861,-1.204259373,-0.252870075,-1.76192253,1.731403873
1068,BARD1,EarlyInter,0.674229351,1.158268962,-1.145932339,0.889072302,-1.198419818,-0.391516029,-0.79492215,0.734315663,-1.09917919,0.890361565,-0.930149915,1.213871598
1069,CENPJ,EarlyInter,0.763703678,1.621327117,-1.217117111,0.620970842,-0.408048998,-1.062870303,-1.045310089,0.441599983,-0.54481319,1.038585982,-1.088918815,0.880890906
1070,ASF1A,EarlyInter,-0.203272217,0.022890998,0.614647788,1.36413116,-0.618353179,0.388696597,0.825617328,0.59615175,0.020115886,-1.15030559,-2.361072606,0.500752085
1071,G2E3,EarlyInter,1.065106172,0.440430052,-0.599822623,-0.087555052,0.226802589,-0.653554164,-0.753850404,1.573538633,-0.518300304,0.7022951,-2.11990901,0.724819013
1072,EPB41,EarlyInter,1.913345571,1.367345543,-1.322911484,-0.236209527,-1.059955794,-0.674725587,-1.055887004,-0.041947205,0.240143945,0.952371313,-0.031832981,-0.049736791
1073,CARHSP1,EarlyInter,0.489801315,0.925852535,-0.704610447,0.294538005,-1.514862506,0.58903716,-0.040695734,0.168001151,-1.087437707,1.258906263,-1.569301481,1.190771445
1074,CHAF1A,EarlyInter,1.122940557,1.348901835,-1.184653767,0.601103513,-0.953907941,-0.65893151,-1.007115949,0.751450486,-0.898462425,1.138928611,-0.869514246,0.609260836
1075,CHAF1B,EarlyInter,1.197535796,0.873440915,-1.111167673,0.341971285,-0.931013062,-0.397585127,-0.957535734,0.993122631,-1.017164363,1.561129828,-0.946754128,0.394019634
1076,DNA2,EarlyInter,0.956227156,1.942726765,-0.980453534,1.109248643,-0.744395323,-0.757690988,-0.958306402,0.724398928,-0.90457898,0.197136177,-0.802332338,0.218019897
1077,CENPM,EarlyInter,0.330590119,0.875534735,-1.05762479,1.365485193,-0.873288138,-0.569134615,-0.855914316,0.579501261,-1.053859949,0.704890262,-0.992976131,1.546796371
1079,EZH2,EarlyInter,0.806551615,1.399043492,-0.901732097,0.823586387,-1.134673525,-0.510040328,-0.516738794,0.636380709,-1.096651934,0.942242007,-1.339848685,0.891881154
1080,FAM111B,EarlyInter,0.820158794,1.00803187,-1.076494293,0.75136038,-1.076264085,-0.349178582,-0.973844471,0.709541042,-1.099257654,1.228873892,-1.004810003,1.061883109
1081,DSCC1,EarlyInter,0.459355598,1.024912597,-0.911372056,1.500729779,-0.926324253,-0.746028036,-0.832063727,0.676124568,-1.00366542,0.390606024,-1.012824763,1.380549688
1082,CEP152,EarlyInter,0.468230812,1.330365871,-1.377906284,0.45688538,-0.518652841,-0.719424381,-1.221644325,0.534219066,-0.534963997,1.278343287,-0.936858264,1.241405678
1083,DNMT1,EarlyInter,1.115704806,1.453453762,-1.185910378,0.385081133,-1.130821424,-0.29934363,-0.450567493,0.515307032,-0.967271089,1.280274693,-1.200601195,0.484693783
1084,BCOR,EarlyInter,-1.071187711,0.652732692,-1.366529861,-0.039537982,-0.835086295,0.856235146,-1.436634721,-0.043924248,1.684844579,0.34205695,0.231397884,1.025633565
1085,DHFR,EarlyInter,0.754345093,1.012906042,-1.242686708,0.952324124,-0.777676451,-0.595489416,-1.081023053,0.676360136,-1.152505564,0.991248012,-0.756493145,1.218690931
1086,E2F7,EarlyInter,-0.206367945,0.757738222,-0.870392204,1.359411468,-0.831722803,-0.640783214,-0.866589673,0.205995152,-0.926364694,0.79475609,-0.737398885,1.961718485
1087,DSN1,EarlyInter,0.736046595,1.086170401,-0.998560604,1.009408633,-0.701317025,-0.478309456,-1.085225603,0.653886028,-1.233699539,1.133539181,-1.091059838,0.969121227
1088,DRP2,EarlyInter,0.814070673,0.885253201,-0.967706106,-0.674583558,-1.511265393,0.100451045,0.126178151,0.59610514,-1.511265393,-0.343472133,1.197046673,1.289187701
1089,BRIP1,EarlyInter,0.624792398,1.328736578,-1.046025649,0.92246408,-0.801064941,-0.721573991,-1.026880626,0.565389623,-1.05256319,0.997323787,-0.953125114,1.162527045
1090,DIAPH3,EarlyInter,0.241724589,1.572423175,-0.960347519,0.93587688,-0.792477831,-0.859063846,-0.962549315,0.106218384,-0.878414149,1.04008393,-0.80775739,1.364283092
1091,CCDC77,EarlyInter,1.30392945,0.732282665,-0.144969961,1.208004557,-1.460855898,-0.332645153,-1.123000442,0.737884851,-0.464294179,0.464197806,-1.550712206,0.63017851
1094,FBLN1,EarlyInter,1.024585845,1.390468036,-0.848412277,1.268038191,-1.14960822,-0.536091976,-0.579635901,0.577441974,-0.997908543,0.557572333,-1.316148346,0.609698885
1095,GALNT12,EarlyInter,1.866661264,1.004679905,-0.443240582,0.824163876,-0.939038101,-0.534254556,-0.085831273,0.704687806,-0.654896035,0.561880037,-1.680911305,-0.623901036
1096,BCL2,EarlyInter,0.553703303,0.465765647,0.295150511,0.709016758,-1.303876753,0.543922831,0.293814682,0.793329043,-0.020473652,0.063426168,-2.664111451,0.270332915
1097,CD38,EarlyInter,0.139504763,0.281555245,-0.68876369,0.02639255,-1.180473103,1.452418386,0.874784621,0.146453251,-0.830897475,1.145120297,-1.948282935,0.58218809
1098,DDX11,EarlyInter,1.023902547,1.06058249,-1.192480439,0.579167776,-1.084809422,-0.307476031,-0.829464329,0.746150843,-0.657935465,1.387840142,-1.345363022,0.619884911
1099,AKR1B1,EarlyInter,0.855242239,0.933774471,0.1349123,0.0981962,-1.69688466,0.403652025,0.103388752,0.549365588,-0.981257406,1.240917291,-1.860906257,0.219599456
1100,CEP131,EarlyInter,0.629529269,1.196435935,-1.049106316,0.748438634,-1.204925335,-0.428854569,-0.665925076,1.012223944,-0.537759734,1.312403989,-1.4766701,0.46420936
1101,ACYP1,EarlyInter,-0.032501936,0.573927573,-0.900541548,1.113957692,-0.926612477,-0.035783325,-0.670678159,0.414733365,-0.948804766,0.887288612,-1.367007464,1.892022434
1102,CLNS1A,EarlyInter,0.487917018,0.110874073,0.185789329,0.519500832,-0.238066078,0.154759288,0.233565513,0.95996947,-0.190828548,0.290633192,-3.004520491,0.490406402
1103,DNM1,EarlyInter,0.199951497,0.176542603,0.906105148,-0.844650463,1.643459737,-0.427990184,-0.369620466,0.831077709,0.909893899,0.01581589,-1.861034128,-1.179551242
1105,FKBP10,EarlyInter,-0.294612211,-0.041075217,2.261267031,-0.020811697,0.208875571,-1.126387614,-0.282090592,1.191947266,0.681397327,-0.474739669,-1.254935244,-0.84883495
