Gene_name,stat
Mtmr11,6.62
Etfbkmt,6.618
Sptlc2,6.617
Tmem220,6.613
Vsir,6.612
Chmp2b,6.6
Orm1,6.592
Ccdc28a,6.578
Osbpl3,6.57
Plod1,6.569
Frem1,6.565
App,6.563
Nol3,6.563
Vmac,6.559
Slc9a7,6.552
Mapk1ip1,6.55
Capn7,6.542
Sox5,6.542
Snw1,6.534
Gpx3,6.533
Hhipl1,6.53
Polm,6.53
Pdcd4,6.526
Stxbp4,6.522
Tcta,6.52
Aagab,6.517
Lrp11,6.514
Slc37a3,6.514
Khk,6.512
Plxnd1,6.512
Dact1,6.509
Abca7,6.504
Sec22b,6.499
Podxl2,6.495
Tesk2,6.488
Tkfc,6.488
Ttc21b,6.485
Maob,6.481
Ift52,6.47
Tgoln1,6.469
Lmtk3,6.468
Nek6,6.467
Hsd17b4,6.459
Trp53inp1,6.456
Ift43,6.455
Pard3b,6.444
Nid2,6.442
Kcnn1,6.435
Pde4b,6.435
Stambpl1,6.435
Ctxn1,6.432
Smarca2,6.423
Hspb6,6.421
Bbs9,6.419
Serpinb9b,6.419
Galnt15,6.414
Crebrf,6.402
Snx32,6.392
Klhl42,6.381
P4ha2,6.378
Akr1b8,6.366
Pdxk,6.366
Pea15a,6.364
Cst3,6.359
Tbc1d2b,6.358
Dhrs1,6.356
Sytl5,6.356
Sgtb,6.351
Fcgrt,6.343
Zfp579,6.342
Rufy2,6.339
Zfp503,6.323
Ccdc181,6.322
Pygo1,6.319
Rogdi,6.308
Auh,6.303
S1pr1,6.293
Actn3,6.292
Galr3,6.292
Abhd3,6.287
Parn,6.274
Arl4a,6.26
Hsd17b11,6.259
Tm7sf3,6.248
Atg10,6.244
Cab39l,6.236
Mospd2,6.235
Dact3,6.234
Marchf9,6.228
Macc1,6.225
Cdk5rap2,6.218
Tgfb1,6.217
Fam114a1,6.211
Nek1,6.211
Gnptg,6.201
Aldh2,6.198
Ahsa1,6.188
Eif1ad4,6.187
Rab21,6.185
Snx33,6.179
Rhpn1,6.178
Cbx7,6.177
Selenow,6.177
Efr3a,6.175
Dnajb11,6.169
Eml3,6.169
Parp10,6.167
Chmp5,6.165
Isoc2a,6.164
Btbd6,6.161
Echdc2,6.156
Rnd1,6.155
Fam110b,6.151
Slc25a51,6.147
Cyp2u1,6.138
Gusb,6.138
Atp8b2,6.134
Ccdc65,6.13
Lipe,6.124
Casd1,6.115
Uggt2,6.114
Sdc2,6.111
Sestd1,6.11
Syn2,6.105
Smpdl3b,6.098
Pax5,6.097
Arpp19,6.094
Mmut,6.094
Nppc,6.094
Trim56,6.091
Gpbar1,6.074
Clip3,6.073
Enpp4,6.073
Ivns1abp,6.073
Osr1,6.072
Stxbp2,6.071
Fkbp14,6.07
Tifa,6.061
Ipp,6.057
Pip4k2a,6.056
Crebl2,6.055
Arf2,6.054
Lipa,6.053
Rras,6.051
Fat4,6.049
Ankrd54,6.045
Satb1,6.045
Zbtb7b,6.045
Rassf5,6.043
Fam189b,6.032
Tec,6.03
Tmem184c,6.03
Cfap97,6.029
Rab6b,6.029
Tsnax,6.023
Ddb2,6.016
Plekhf2,6.016
Tspan33,6.014
Serhl,6.013
Snx6,6.01
Slc29a1,6.008
Ift80,6.005
Ptp4a3,5.999
Spata7,5.997
Tmem169,5.994
Clec3b,5.991
Pigs,5.987
Fbxo3,5.981
Pde1b,5.974
Sesn3,5.974
Copb1,5.963
Slc4a3,5.953
Sec61b,5.951
Slc39a6,5.951
Mab21l3,5.949
Snx14,5.947
Zhx2,5.946
Vwa8,5.944
Paip2,5.943
Mkrn1,5.939
Ift88,5.935
Copg2,5.933
Slc10a4,5.932
Ccdc159,5.93
Nr2c1,5.93
Lancl1,5.928
Pfn2,5.927
Canx,5.925
Tmtc4,5.922
Entpd7,5.919
Sdc1,5.918
Smarcc2,5.918
Zfp740,5.909
Zfp523,5.907
Sqstm1,5.902
Tmem254,5.901
Rrm2,5.897
Tmsb4x,5.897
Ropn1l,5.896
Fcsk,5.892
Fbxl20,5.891
Plcb3,5.891
Lrrc56,5.889
Fam76a,5.883
Slc16a9,5.878
Lamtor2,5.873
Rps6ka5,5.873
Trappc6a,5.87
Trim36,5.869
Igfbp6,5.867
Bcl2l2,5.866
Slc9a3r1,5.866
Ssbp2,5.862
Tle6,5.862
Ttc5,5.862
Gdi1,5.854
Pyroxd2,5.854
Ppme1,5.85
Gm14403,5.849
Sbk2,5.845
Aldh5a1,5.844
Plekha3,5.843
Pkia,5.838
Rnf32,5.838
Itga3,5.833
Maged2,5.833
Tbcel,5.832
Pwwp2b,5.829
Sertad3,5.829
Dipk1a,5.818
Glmp,5.816
